Long., Lat., Transv. Pred., Normal Pred., Capacity, Equiv. Dip, Transv. Trac., Normal Trac., Friction
169.838,-44.648,0.0863,-0.0973,2.18332546748565E-18,76.994,2.34612,-28.38764,0.054474317038046
169.868,-44.602,0.1224,-0.0902,1.72292833448411E-19,40,5.43958,-27.56612,0.152391982544029
169.846,-44.877,0.0083,0.0003,1.77871759308141E-17,80,0.05842,0.04912,0.001665530862679
169.845,-44.843,-0.1298,-0.118,3.20552901782912E-19,40,-0.87728,-13.58768,0.088115276075742
170.101,-43.932,0.0492,0.1011,1.66023707008171E-17,58.781,0.12585,1.2188,0.010503208405888
170.1,-43.992,-0.0822,-0.6253,3.35901585293974E-17,64.736,-0.09971,-3.87767,0.022436326884758
170.085,-44.05,0.0135,-1.6667,2.17905497169293E-17,65,0.0189,-13.00158,0.055153505339169
170.057,-44.105,-0.0647,-1.7029,1.31592215624953E-17,65,-0.16633,-20.78519,0.076501520770644
170.045,-44.173,-0.4286,-1.4852,2.76433536563796E-18,35.811,-2.0289,-24.22671,0.13725058365945
170.028,-44.249,-0.0811,-1.5662,1.06040790101111E-17,65,-0.39997,-26.25209,0.089445854033376
169.991,-44.32,0.1624,-1.7049,2.38562393877456E-18,25,1.18311,-28.3436,0.146232381838274
169.953,-44.394,0.2588,-1.6555,2.20736760321757E-18,25,3.26427,-25.44209,0.135850237501233
169.911,-44.454,0.6436,-1.4532,3.51858336779668E-18,25.167,7.77843,-21.44519,0.127280076919486
169.87,-44.495,0.4107,-0.8218,1.37282172781497E-18,25.661,7.91442,-19.40138,0.120695328361614
169.859,-44.532,-0.0143,-0.1691,7.37811006220768E-25,66.718,-1.1327,-16.5785,0.062473335985352
169.875,-44.565,-0.0198,-0.0214,4.8105187445968E-20,30.899,-17.63038,-25.82552,0.181844888284361
169.913,-44.673,-0.0279,-0.0195,5.70718713152258E-20,50,-14.38265,-24.40744,0.16554556284757
169.893,-44.612,-0.0282,-0.0201,7.43215445289468E-20,50,-12.76166,-22.03836,0.152965208426234
170.084,-44.997,0.1717,-0.2474,4.45048127070775E-19,25,11.94583,-20.95162,0.136800197709853
170.047,-45.03,0.1642,-0.2711,4.8369764007785E-19,25,12.44793,-25.0508,0.151586596003386
170.006,-45.073,0.1625,-0.2272,2.80855723116152E-19,25.369,8.66433,-26.76202,0.149146246355388
169.962,-45.129,0.1549,-0.3208,1.26994418440403E-18,64.276,3.36052,-33.06103,0.109241097167399
169.915,-45.215,0.0575,-0.1941,2.60329953851688E-18,65,0.86594,-14.61865,0.060530785863519
169.874,-45.312,-0.0004,0.0278,1.42806363963564E-18,55.595,-0.0123,3.82073,0.027698318165716
169.848,-45.753,-0.0121,-0.0037,1.89184940846365E-17,25,-0.06668,-0.02661,0.00108411385801
169.861,-45.696,0.0226,-0.0925,2.22571875535137E-18,65,0.11427,-0.64931,0.005592846979993
169.898,-45.641,0.073,-0.1372,5.1645326329644E-20,63.431,3.89036,-27.37035,0.101597113958067
169.951,-45.593,0.1289,-0.1046,3.55204864227326E-19,25,15.91936,-16.41538,0.140131279442214
170.02,-45.557,0.1335,-0.1148,2.92957954086089E-19,25,13.93156,-16.77054,0.131997087845265
170.094,-45.482,0.1164,-0.1823,2.80358500057194E-19,46.531,5.97218,-29.1634,0.150943094495991
170.171,-45.37,0.0641,-0.1066,1.62296181765701E-18,63.521,1.74866,-13.22682,0.061112945334203
170.248,-45.259,-0.0093,0.017,1.12362194368748E-18,62.264,-0.43,3.81349,0.024395281116977
169.99,-44.856,-0.0301,-0.0166,5.90827482387154E-20,50,-15.54767,-20.83746,0.167401579647211
169.971,-44.812,-0.0309,-0.0148,6.83240305642207E-20,50,-16.05781,-18.67817,0.168844489994608
169.952,-44.77,-0.0307,-0.0148,4.88830980791357E-20,50,-16.41919,-19.21171,0.171614481380997
169.933,-44.726,-0.0306,-0.0164,7.07605472092067E-20,50,-14.834,-19.27341,0.161291253402723
170.326,-44.662,-0.5769,0.0165,6.27381843329608E-18,82.159,-3.07744,4.69004,0.042546128363239
170.261,-44.639,-0.6779,0.0202,4.99439417038577E-18,81.964,-4.37542,7.99636,0.053159224491135
170.189,-44.614,-0.7165,0.0387,3.49609359455716E-18,86.525,-4.75826,1.94013,0.078518493709178
170.111,-44.586,-0.7079,-0.0458,7.01165419133502E-18,55,-1.64468,-0.43392,0.030978596679527
170.053,-44.553,-0.2925,-0.049,4.33967963300762E-17,61.272,-0.41696,-0.28932,0.009101529547887
170.019,-44.515,0.0384,0.0309,1.0298040375658E-18,55,0.10808,0.37368,0.004565384780938
170.076,-44.956,-0.0308,-0.0093,5.09031485756129E-20,50,-18.77331,-13.81332,0.190096677270098
170.025,-44.905,-0.0288,-0.0052,5.49432570377622E-20,50,-16.91671,-7.4163,0.187711882753008
169.988,-46.269,-0.0069,0.0503,6.84944926917723E-17,65,-0.00717,0.29461,0.002637426348171
170.024,-46.227,0.0918,-0.2417,5.09274673764342E-17,65,0.05969,-0.88023,0.006750098750235
170.072,-46.187,0.2586,-0.702,2.64513978095951E-17,65,0.26689,-4.0566,0.023278876138142
170.122,-46.147,0.2827,-0.8576,2.21337280063746E-17,65,0.36016,-6.11663,0.031886030260348
170.161,-46.108,0.3022,-0.8907,2.82520858215363E-17,65,0.36263,-5.92967,0.031163588400858
170.196,-46.075,0.3969,-0.8724,2.67455494329288E-17,64.437,0.4521,-5.41607,0.029851430909845
